Topic,Top Terms
Topic 00,getcoverednow,don't,wait,word,spread,family,friends,hands,movement,finish,miss,coming,save,help,push,fight,moms,know,got,you're,life,people,million,today,yourmomcares,sure,right,head,hard,100,month,country,getting,making,chip,nearly,final,quality,uninsured,make,plan,enrollment,folks,person,options,change,check,running,america,stories
Topic 01,seen,talking,check,getting,save,people,getcoverednow,stories,reasons,community,good,like,america,month,today,don't,finish,got,miss,wait,help,quality,life,doesn't,coming,make,options,family,push,opportunity,hour,yourmomcares,running,chip,sure,friends,know,hard,moms,million,fight,making,role,plan,support,spread,reform,you're,american,word
Topic 02,quality,opportunity,reform,millions,stories,don't,america,today,help,you're,make,importance,people,got,getcoverednow,folks,spread,getting,seen,month,law,marketplace,finish,wait,miss,new,chip,coming,doesn't,push,fight,save,running,yourmomcares,family,hard,good,sure,moms,million,hour,role,making,support,plan,word,know,final,american,benefits
Topic 03,change,new,u.s,talking,getting,chip,movement,getcoverednow,make,uninsured,help,america,month,community,don't,finish,got,miss,wait,quality,coming,people,doesn't,push,save,opportunity,family,yourmomcares,running,today,hard,moms,fight,million,good,sure,hour,role,making,plan,support,spread,reform,know,word,american,final,taking,marketplace,benefits
Topic 04,yourmomcares,moms,jonah,hill,ends,getcoverednow,spread,like,america,enrollment,people,getting,folks,word,month,finish,help,miss,don't,got,running,wait,today,million,quality,coming,doesn't,stories,make,family,push,fight,save,opportunity,chip,late,hard,good,sure,hour,role,making,know,support,plan,new,final,reform,american,benefits
Topic 05,uninsured,nearly,u.s,minimum,getcoverednow,getting,new,plan,100,month,wage,america,family,support,making,finish,don't,got,help,miss,good,work,wait,makes,quality,coming,doesn't,people,save,push,make,opportunity,know,pay,10.10,american,yourmomcares,chip,running,today,moms,hard,fight,sure,like,role,million,hour,spread,reform
Topic 06,america,friends,know,makes,right,you're,doesn't,today,getcoverednow,coming,people,good,started,yourmomcares,sure,work,opportunity,got,check,family,hard,quality,help,wage,minimum,don't,make,options,month,getting,miss,american,support,10.10,running,seen,millions,making,push,reform,role,assistance,finish,wait,uninsured,benefits,word,million,chip,country
Topic 07,good,hard,reasons,person,life,seen,check,america,day,getcoverednow,people,making,don't,assistance,like,wage,minimum,doesn't,save,month,help,million,getting,let's,millions,new,coming,reform,quality,make,started,finish,role,you're,work,miss,got,sure,wait,today,push,family,country,opportunity,final,weekly,taking,yourmomcares,chip,american
Topic 08,movement,push,country,final,role,word,sure,life,getcoverednow,chip,folks,today,head,month,change,help,you're,getting,reform,don't,support,let's,spread,america,make,running,miss,people,got,million,need,quality,finish,wait,good,hard,family,millions,coming,doesn't,making,opportunity,save,yourmomcares,community,moms,fight,know,hour,plan
Topic 09,don't,know,miss,country,coming,people,getcoverednow,million,quality,support,sure,10.10,make,you're,person,wage,minimum,friends,family,wait,getting,today,spread,word,america,month,finish,got,options,help,check,doesn't,push,save,opportunity,running,yourmomcares,chip,hard,moms,fight,good,hour,role,making,plan,reform,american,final,benefits
Topic 10,miss,running,don,’re,benefits,options,check,day,don't,getcoverednow,taking,you're,word,spread,address,help,today,folks,law,month,getting,life,reasons,like,doesn't,friends,making,america,family,know,hard,coming,sure,make,finish,got,wait,people,quality,role,push,save,opportunity,yourmomcares,million,chip,moms,fight,hour,good
Topic 11,million,quality,american,new,millions,people,good,getcoverednow,marketplace,pay,plan,america,month,spread,word,today,don't,law,help,seen,getting,importance,you're,family,country,coming,doesn't,taking,role,making,got,finish,opportunity,miss,wait,hard,nearly,yourmomcares,life,make,chip,uninsured,minimum,push,assistance,stories,save,like,wage,makes
Topic 12,like,day,work,new,days,opportunity,month,help,making,hard,seen,community,makes,getcoverednow,getting,wage,minimum,good,check,jonah,coming,options,hill,role,america,today,marketplace,yourmomcares,doesn't,million,quality,taking,got,finish,make,don't,support,miss,life,wait,family,country,american,push,people,’re,let's,save,final,know
Topic 13,help,wage,minimum,hour,taking,change,opportunity,10.10,make,month,save,address,’re,america,push,final,support,finish,getcoverednow,work,know,got,law,getting,chip,quality,folks,making,hands,nearly,makes,fight,good,community,need,spread,reform,you're,people,movement,family,like,running,coming,don't,sure,miss,wait,doesn't,word
Topic 14,month,getting,100,save,folks,america,nearly,assistance,uninsured,help,pay,check,getcoverednow,hour,people,good,spread,doesn't,sure,make,need,role,stories,new,account,opportunity,got,family,talking,push,final,making,u.s,yourmomcares,finish,community,wage,work,minimum,american,quality,reasons,plan,hands,chip,fight,you're,started,reform,today
Topic 15,got,help,spread,need,word,coming,millions,folks,getcoverednow,america,chip,right,running,opportunity,sure,people,make,head,million,don't,stories,know,making,push,final,friends,finish,work,getting,month,miss,quality,hands,fight,community,you're,reform,wait,today,doesn't,change,role,save,law,wage,yourmomcares,hard,family,taking,moms
Topic 16,support,law,country,opportunity,people,america,millions,taking,got,don't,address,know,making,’re,seen,push,10.10,final,wage,minimum,getcoverednow,quality,getting,let's,good,today,month,new,american,make,million,help,finish,yourmomcares,miss,wait,like,role,hard,doesn't,coming,family,chip,stories,assistance,work,day,save,makes,days
Topic 17,make,sure,making,today,people,role,new,getting,america,getcoverednow,don't,help,month,folks,got,law,family,american,check,opportunity,need,you're,reform,options,like,seen,hard,change,day,doesn't,wage,minimum,quality,millions,good,assistance,chip,stories,yourmomcares,push,miss,country,million,life,finish,taking,wait,work,support,right
Topic 18,push,final,finish,chip,late,make,let's,right,started,help,support,getcoverednow,fight,hands,movement,change,people,reform,today,need,head,days,enrollment,country,doesn't,america,getting,sure,folks,don't,got,month,hard,work,you're,wait,miss,quality,coming,save,opportunity,running,yourmomcares,options,family,check,moms,million,good,hour
Topic 19,help,don't,today,days,head,reasons,benefits,quality,reform,finish,getcoverednow,miss,push,make,you're,final,coming,fight,community,pay,ends,hands,sure,enrollment,work,country,check,doesn't,people,options,getting,million,american,person,folks,chip,month,america,family,spread,plan,need,word,wait,running,friends,good,change,hard,got
Topic 20,enrollment,final,quality,plan,ends,pay,days,options,getcoverednow,finish,help,american,month,fight,don't,today,push,coming,you're,family,getting,importance,america,doesn't,million,taking,support,role,head,marketplace,new,miss,benefits,got,wait,check,hard,make,people,life,nearly,like,know,save,’re,work,opportunity,reasons,chip,yourmomcares
Topic 21,community,stories,family,getting,opportunity,folks,help,work,people,spread,talking,getcoverednow,plan,seen,america,sure,pay,making,month,got,today,million,don't,finish,reform,make,miss,wait,quality,doesn't,coming,push,save,support,role,good,hard,days,chip,yourmomcares,american,running,country,word,millions,moms,fight,you're,wage,hour
Topic 22,weekly,pay,importance,like,address,quality,work,hard,family,getcoverednow,american,seen,getting,jonah,plan,hill,making,good,yourmomcares,options,check,america,month,sure,wage,don't,minimum,finish,got,miss,wait,help,people,coming,doesn't,million,make,push,save,opportunity,today,running,let's,you're,chip,right,moms,day,fight,hour
Topic 23,people,family,know,you're,like,started,doesn't,sure,getcoverednow,getting,folks,life,making,yourmomcares,don't,america,check,running,help,friends,chip,jonah,wage,minimum,work,hard,assistance,options,good,million,seen,support,need,country,10.10,miss,hill,quality,today,plan,stories,millions,coming,make,month,spread,law,got,benefits,finish
Topic 24,let's,new,country,getting,getcoverednow,america,month,people,hard,yourmomcares,day,today,finish,don't,got,miss,help,save,uninsured,doesn't,quality,late,wait,good,push,coming,family,opportunity,u.s,make,chip,moms,making,running,sure,role,fight,know,million,hour,plan,folks,support,american,life,spread,taking,reform,like,word
Topic 25,work,hard,address,account,pay,weekly,getting,doesn't,right,america,like,started,making,taking,getcoverednow,you're,’re,makes,wage,minimum,help,american,day,month,law,sure,community,plan,seen,coming,don't,jonah,finish,got,miss,wait,hill,yourmomcares,good,quality,people,options,make,check,today,family,push,save,role,opportunity
Topic 26,fight,reform,chip,doesn't,today,million,country,day,getting,finish,month,don't,help,people,hands,movement,account,make,getcoverednow,days,need,enrollment,change,word,spread,let's,quality,american,america,options,check,started,hard,miss,push,making,good,work,you're,got,wait,late,coming,head,sure,save,opportunity,family,running,yourmomcares
Topic 27,wage,minimum,address,american,weekly,10.10,people,country,america,making,support,work,know,makes,good,taking,nearly,don't,like,family,million,’re,pay,getcoverednow,today,help,law,let's,plan,assistance,getting,chip,seen,millions,yourmomcares,stories,month,life,need,hard,sure,finish,got,miss,wait,quality,coming,doesn't,make,push
Topic 28,plan,marketplace,pay,quality,family,getcoverednow,month,new,american,getting,support,coming,ends,america,don't,help,doesn't,finish,miss,got,wait,role,push,final,taking,people,today,make,hard,million,save,opportunity,yourmomcares,running,know,chip,life,options,wage,minimum,benefits,moms,hour,fight,good,sure,making,spread,account,reform
Topic 29,options,check,you're,uninsured,word,today,getcoverednow,sure,quality,friends,like,don't,miss,make,family,know,help,running,getting,doesn't,month,america,reasons,spread,finish,got,wait,coming,people,support,push,save,million,100,opportunity,nearly,hard,yourmomcares,chip,role,moms,making,fight,good,hour,plan,final,reform,new,benefits
